Namn,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Ane";121;115;110;93;88;78;103;121;153;127;109;98;107;80;67;77;79;50;45;43;46;39
"Aneta";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Anett";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Anette";98;71;68;74;81;65;32;36;29;15;11;12;10;8;5;5;4;7;4;.;.;.
"Angela";.;6;7;12;.;10;6;10;6;6;11;6;8;4;5;11;5;5;.;4;6;.
"Angelica";16;15;21;23;26;28;35;37;84;90;90;70;57;62;58;49;43;38;20;20;16;11
"Angelika";12;12;8;8;9;5;.;5;10;15;5;10;10;.;5;8;5;.;4;.;.;.
"Angelina";4;.;5;7;10;11;16;20;23;20;17;22;14;18;13;6;14;15;7;8;.;7
"Anine";29;34;38;43;41;43;46;32;40;34;33;25;31;61;41;29;26;20;13;13;15;15
"Anisa";5;9;.;13;10;8;9;5;5;11;7;5;8;10;10;13;7;8;5;5;.;5
"Anita";41;26;30;34;23;19;23;16;15;12;12;13;14;14;14;9;11;10;7;8;6;7
"Anja";53;39;46;42;40;35;28;27;19;30;15;15;12;19;9;12;24;18;13;16;9;12
"Anlaug";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Ann";42;44;39;26;29;20;23;27;17;18;20;16;9;10;12;11;9;7;7;.;.;5
"Ann-Christin";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Ann-Helen";.;4;.;4;.;.;5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Ann-Karin";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Ann-Kristin";.;5;..;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Ann-Mari";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Anna";328;345;381;343;304;350;334;327;341;396;344;378;350;329;319;301;322;311;276;249;236;219
"Annabelle";.;.;.;.;.;.;6;.;7;.;4;7;6;12;11;11;17;21;25;15;7;12
"Annbj�rg";.;5;6;..;6;5;.;.;7;.;.;5;.;.;.;.;.;.;.;.;.;.
"Anne";186;165;165;136;148;124;110;89;104;81;91;73;66;66;68;70;57;62;51;52;43;35
"Anne-Berit";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Anne-Britt";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Anne-Grete";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Anne-Grethe";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Anne-Kari";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Anne-Karin";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Anne-Kristin";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Anne-Lene";.;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Anne-Lise";.;.;.;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Anne-Mari";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Anne-Marie";7;4;4;7;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Anne-Marit";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Anne-Mette";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Anne-Sofie";5;.;5;.;5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Anneli";12;9;12;8;12;8;22;10;16;9;14;15;6;6;7;9;7;5;4;8;4;5
