Namn,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Andrej";.;.;.;.;.;.;..;.;.;.;4;7;4;.;5;5;.;4;5;.;11;6
"Andres";7;.;6;6;4;6;8;.;5;5;5;.;.;.;4;5;.;.;4;.;.;.
"Andrew";..;..;.;..;.;5;5;.;..;8;.;4;6;5;8;.;4;.;8;.;.;.
"Andris";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4;.;.;.;.;.
"Andrius";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Andrzej";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Annar";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Ansgar";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Anthony";.;5;14;8;5;4;8;.;11;9;9;11;5;10;6;10;12;.;4;7;8;8
"Anton";22;32;29;23;34;30;31;38;58;68;52;78;81;74;94;109;77;88;91;92;84;91
"Antoni";.;.;.;.;.;.;4;.;6;6;9;7;8;13;16;10;14;24;25;29;27;26
"Antonio";6;5;9;22;14;5;5;10;5;12;6;7;10;9;6;5;7;7;6;5;4;7
"Anwar";.;5;.;.;.;6;4;.;.;4;.;.;.;.;.;.;.;5;.;.;..;.
"Aram";4;.;.;.;4;5;.;..;.;5;5;7;4;4;4;9;8;6;9;4;9;5
"Are";15;12;21;22;31;23;23;21;24;21;14;13;8;9;11;8;10;13;5;5;4;4
"Ari";7;.;.;.;13;7;9;4;5;.;5;5;.;5;..;7;4;.;6;5;.;5
"Arian";10;7;12;10;16;15;20;24;15;28;29;39;40;25;32;28;42;33;35;25;29;33
"Arild";17;25;17;10;5;9;11;4;9;6;.;6;7;5;4;.;8;.;4;6;4;4
"Arkadiusz";.;.;.;.;.;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Arman";.;7;7;11;6;9;4;6;8;11;17;16;14;14;14;14;15;15;7;15;13;13
"Armin";5;7;6;7;7;.;8;7;4;5;5;9;6;5;9;9;13;8;5;9;6;12
"Arn";.;.;.;.;4;.;.;7;10;6;18;23;20;20;11;13;19;8;14;9;9;6
"Arne";52;53;41;41;34;44;34;40;32;32;25;34;26;25;21;35;24;20;23;22;22;21
"Arnfinn";4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Arnold";.;.;.;.;.;.;.;.;.;.;.;..;.;.;.;.;.;.;.;.;.;.
"Arnstein";.;4;.;4;.;.;.;.;.;.;.;..;.;.;.;.;.;.;.;.;.;.
"Arnt";12;13;10;5;7;4;5;6;7;8;9;6;5;.;4;.;.;.;4;.;.;4
"Arnulf";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Aron";38;27;40;36;48;43;64;74;91;86;120;136;143;148;135;110;115;120;122;114;116;98
"Arthur";11;11;22;12;10;15;19;14;17;21;17;20;17;21;29;26;38;29;34;54;53;51
"Artur";8;4;.;5;4;5;4;6;.;7;4;.;8;6;7;9;.;10;9;6;9;8
"Arturas";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Arunas";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Arve";7;.;5;5;.;4;.;7;5;6;..;.;4;.;4;.;.;.;.;.;4;.
"Arvid";9;10;6;9;6;8;6;6;10;6;7;8;8;7;10;7;9;8;11;11;8;14
"Aryan";4;.;.;.;4;11;11;13;6;12;16;23;18;8;14;10;14;11;19;16;8;19
"Asbj�rn";24;30;20;18;21;13;16;9;16;20;10;16;11;6;9;15;14;12;8;8;11;8
"Asgeir";5;10;15;18;9;6;6;10;.;.;6;.;.;.;.;5;.;.;.;.;.;.
"Ask";22;21;26;31;39;49;52;52;69;53;66;62;63;62;59;63;61;51;68;56;75;58
"Aslak";19;22;23;20;27;26;17;36;20;17;29;31;35;25;34;27;22;33;35;29;29;20
"Asle";5;9;8;.;9;.;4;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Asmund";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Atle";24;11;16;25;18;12;6;9;12;4;8;5;4;6;8;6;5;4;6;5;6;11
"Audrius";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Audun";46;33;37;31;43;27;24;20;28;27;27;29;20;27;24;24;16;24;24;24;20;22
"August";46;53;76;76;79;88;97;92;89;83;84;74;65;87;78;69;77;80;78;66;82;54
"Aurimas";.;.;.;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Axel";44;29;43;43;28;43;48;40;52;53;42;61;62;66;65;68;53;85;72;62;63;55
"Ayman";.;.;.;7;.;5;5;4;6;8;9;7;7;6;6;7;10;11;9;19;13;15
"Baard";.;.;.;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
